date,jour_semaine,mois,heure,est_jour_ferie,est_weekend,est_vacances_scolaires,frequentation
2024-01-01,lundi,1,5,1,0,0,8415
2024-01-01,lundi,1,6,1,0,0,7407
2024-01-01,lundi,1,7,1,0,0,58486
2024-01-01,lundi,1,8,1,0,0,36950
2024-01-01,lundi,1,9,1,0,0,53468
2024-01-01,lundi,1,10,1,0,0,15531
2024-01-01,lundi,1,11,1,0,0,13857
2024-01-01,lundi,1,12,1,0,0,19585
2024-01-01,lundi,1,13,1,0,0,26223
2024-01-01,lundi,1,14,1,0,0,12946
2024-01-01,lundi,1,15,1,0,0,21602
2024-01-01,lundi,1,16,1,0,0,14244
2024-01-01,lundi,1,17,1,0,0,52404
2024-01-01,lundi,1,18,1,0,0,38986
2024-01-01,lundi,1,19,1,0,0,29642
2024-01-01,lundi,1,20,1,0,0,45732
2024-01-01,lundi,1,21,1,0,0,7935
2024-01-01,lundi,1,22,1,0,0,3984
2024-01-01,lundi,1,23,1,0,0,5666
2024-01-02,mardi,1,5,0,0,0,22132
2024-01-02,mardi,1,6,0,0,0,25818
2024-01-02,mardi,1,7,0,0,0,150200
2024-01-02,mardi,1,8,0,0,0,94535
2024-01-02,mardi,1,9,0,0,0,110009
2024-01-02,mardi,1,10,0,0,0,43967
2024-01-02,mardi,1,11,0,0,0,44481
2024-01-02,mardi,1,12,0,0,0,49376
2024-01-02,mardi,1,13,0,0,0,67351
2024-01-02,mardi,1,14,0,0,0,41559
2024-01-02,mardi,1,15,0,0,0,34380
2024-01-02,mardi,1,16,0,0,0,36284
2024-01-02,mardi,1,17,0,0,0,132846
2024-01-02,mardi,1,18,0,0,0,127951
2024-01-02,mardi,1,19,0,0,0,115602
2024-01-02,mardi,1,20,0,0,0,100202
2024-01-02,mardi,1,21,0,0,0,17748
2024-01-02,mardi,1,22,0,0,0,17466
2024-01-02,mardi,1,23,0,0,0,20202
2024-01-03,mercredi,1,5,0,0,0,26996
2024-01-03,mercredi,1,6,0,0,0,20399
2024-01-03,mercredi,1,7,0,0,0,143954
2024-01-03,mercredi,1,8,0,0,0,134202
2024-01-03,mercredi,1,9,0,0,0,100123
2024-01-03,mercredi,1,10,0,0,0,29797
2024-01-03,mercredi,1,11,0,0,0,49417
2024-01-03,mercredi,1,12,0,0,0,56017
2024-01-03,mercredi,1,13,0,0,0,55405
2024-01-03,mercredi,1,14,0,0,0,38837
2024-01-03,mercredi,1,15,0,0,0,39346
2024-01-03,mercredi,1,16,0,0,0,42557
2024-01-03,mercredi,1,17,0,0,0,125091
2024-01-03,mercredi,1,18,0,0,0,118057
2024-01-03,mercredi,1,19,0,0,0,100319
2024-01-03,mercredi,1,20,0,0,0,84292
2024-01-03,mercredi,1,21,0,0,0,19316
2024-01-03,mercredi,1,22,0,0,0,14218
2024-01-03,mercredi,1,23,0,0,0,10306
2024-01-04,jeudi,1,5,0,0,0,19906
2024-01-04,jeudi,1,6,0,0,0,11565
2024-01-04,jeudi,1,7,0,0,0,109604
2024-01-04,jeudi,1,8,0,0,0,159722
2024-01-04,jeudi,1,9,0,0,0,141519
2024-01-04,jeudi,1,10,0,0,0,58956
2024-01-04,jeudi,1,11,0,0,0,38242
2024-01-04,jeudi,1,12,0,0,0,50378
2024-01-04,jeudi,1,13,0,0,0,51399
2024-01-04,jeudi,1,14,0,0,0,45384
2024-01-04,jeudi,1,15,0,0,0,55119
2024-01-04,jeudi,1,16,0,0,0,43854
2024-01-04,jeudi,1,17,0,0,0,126137
2024-01-04,jeudi,1,18,0,0,0,121334
2024-01-04,jeudi,1,19,0,0,0,83257
2024-01-04,jeudi,1,20,0,0,0,130903
2024-01-04,jeudi,1,21,0,0,0,18838
2024-01-04,jeudi,1,22,0,0,0,15061
2024-01-04,jeudi,1,23,0,0,0,16893
2024-01-05,vendredi,1,5,0,0,0,12811
2024-01-05,vendredi,1,6,0,0,0,23289
2024-01-05,vendredi,1,7,0,0,0,92748
2024-01-05,vendredi,1,8,0,0,0,118051
2024-01-05,vendredi,1,9,0,0,0,100016
2024-01-05,vendredi,1,10,0,0,0,42886
2024-01-05,vendredi,1,11,0,0,0,28987
2024-01-05,vendredi,1,12,0,0,0,69262
2024-01-05,vendredi,1,13,0,0,0,64691
2024-01-05,vendredi,1,14,0,0,0,39681
2024-01-05,vendredi,1,15,0,0,0,53739
2024-01-05,vendredi,1,16,0,0,0,54036
2024-01-05,vendredi,1,17,0,0,0,113903
2024-01-05,vendredi,1,18,0,0,0,140847
2024-01-05,vendredi,1,19,0,0,0,121430
2024-01-05,vendredi,1,20,0,0,0,77874
2024-01-05,vendredi,1,21,0,0,0,18175
2024-01-05,vendredi,1,22,0,0,0,15330
2024-01-05,vendredi,1,23,0,0,0,23932
2024-01-06,samedi,1,5,0,1,0,11826
2024-01-06,samedi,1,6,0,1,0,10626
2024-01-06,samedi,1,7,0,1,0,72446
2024-01-06,samedi,1,8,0,1,0,61172
2024-01-06,samedi,1,9,0,1,0,92513
2024-01-06,samedi,1,10,0,1,0,21402
2024-01-06,samedi,1,11,0,1,0,38022
2024-01-06,samedi,1,12,0,1,0,36940
2024-01-06,samedi,1,13,0,1,0,39979
2024-01-06,samedi,1,14,0,1,0,30332
2024-01-06,samedi,1,15,0,1,0,26497
2024-01-06,samedi,1,16,0,1,0,21419
2024-01-06,samedi,1,17,0,1,0,62620
2024-01-06,samedi,1,18,0,1,0,71759
2024-01-06,samedi,1,19,0,1,0,64539
2024-01-06,samedi,1,20,0,1,0,83909
2024-01-06,samedi,1,21,0,1,0,7093
2024-01-06,samedi,1,22,0,1,0,10289
2024-01-06,samedi,1,23,0,1,0,10879
2024-01-07,dimanche,1,5,0,1,0,10405
2024-01-07,dimanche,1,6,0,1,0,7966
2024-01-07,dimanche,1,7,0,1,0,56294
2024-01-07,dimanche,1,8,0,1,0,54939
2024-01-07,dimanche,1,9,0,1,0,59427
2024-01-07,dimanche,1,10,0,1,0,22818
2024-01-07,dimanche,1,11,0,1,0,14315
2024-01-07,dimanche,1,12,0,1,0,28491
2024-01-07,dimanche,1,13,0,1,0,29115
2024-01-07,dimanche,1,14,0,1,0,14120
2024-01-07,dimanche,1,15,0,1,0,18303
2024-01-07,dimanche,1,16,0,1,0,18453
2024-01-07,dimanche,1,17,0,1,0,53453
2024-01-07,dimanche,1,18,0,1,0,53051
