date,annee,mois,jour_semaine,heure,minute,est_weekend,est_jour_ferie,est_vacances_scolaires,est_saison_pluies,est_ramadan,evenement_religieux,evenement_special,perturbation,phase_reseau,nb_rames_actives,frequentation
2022-01-01,2022,1,samedi,5,0,1,1,0,0,0,0,0,0,1,15,322
2022-01-01,2022,1,samedi,5,30,1,1,0,0,0,0,0,0,1,15,460
2022-01-01,2022,1,samedi,6,0,1,1,0,0,0,0,0,0,1,15,951
2022-01-01,2022,1,samedi,6,30,1,1,0,0,0,0,0,0,1,15,1594
2022-01-01,2022,1,samedi,7,0,1,1,0,0,0,0,0,0,1,15,1825
2022-01-01,2022,1,samedi,7,30,1,1,0,0,0,0,0,0,1,15,2028
2022-01-01,2022,1,samedi,8,0,1,1,0,0,0,0,0,0,1,15,2474
2022-01-01,2022,1,samedi,8,30,1,1,0,0,0,0,0,0,1,15,2057
2022-01-01,2022,1,samedi,9,0,1,1,0,0,0,0,0,0,1,15,1368
2022-01-01,2022,1,samedi,9,30,1,1,0,0,0,0,0,0,1,15,1024
2022-01-01,2022,1,samedi,10,0,1,1,0,0,0,0,0,0,1,15,746
2022-01-01,2022,1,samedi,10,30,1,1,0,0,0,0,0,0,1,15,696
2022-01-01,2022,1,samedi,11,0,1,1,0,0,0,0,0,0,1,15,711
2022-01-01,2022,1,samedi,11,30,1,1,0,0,0,0,0,0,1,15,613
2022-01-01,2022,1,samedi,12,0,1,1,0,0,0,0,0,0,1,15,779
2022-01-01,2022,1,samedi,12,30,1,1,0,0,0,0,0,0,1,15,814
2022-01-01,2022,1,samedi,13,0,1,1,0,0,0,0,0,0,1,15,712
2022-01-01,2022,1,samedi,13,30,1,1,0,0,0,0,0,0,1,15,715
2022-01-01,2022,1,samedi,14,0,1,1,0,0,0,0,0,0,1,15,599
2022-01-01,2022,1,samedi,14,30,1,1,0,0,0,0,0,0,1,15,573
2022-01-01,2022,1,samedi,15,0,1,1,0,0,0,0,0,0,1,15,779
2022-01-01,2022,1,samedi,15,30,1,1,0,0,0,0,0,0,1,15,761
2022-01-01,2022,1,samedi,16,0,1,1,0,0,0,0,0,0,1,15,1039
2022-01-01,2022,1,samedi,16,30,1,1,0,0,0,0,0,0,1,15,1259
2022-01-01,2022,1,samedi,17,0,1,1,0,0,0,0,0,0,1,15,1730
2022-01-01,2022,1,samedi,17,30,1,1,0,0,0,0,0,0,1,15,2085
2022-01-01,2022,1,samedi,18,0,1,1,0,0,0,0,0,0,1,15,1994
2022-01-01,2022,1,samedi,18,30,1,1,0,0,0,0,0,0,1,15,1996
2022-01-01,2022,1,samedi,19,0,1,1,0,0,0,0,0,0,1,15,1476
2022-01-01,2022,1,samedi,19,30,1,1,0,0,0,0,0,0,1,15,1136
2022-01-01,2022,1,samedi,20,0,1,1,0,0,0,0,0,0,1,15,787
2022-01-01,2022,1,samedi,20,30,1,1,0,0,0,0,0,0,1,15,653
2022-01-01,2022,1,samedi,21,0,1,1,0,0,0,0,0,0,1,15,465
2022-01-01,2022,1,samedi,21,30,1,1,0,0,0,0,0,0,1,15,331
2022-01-01,2022,1,samedi,22,0,1,1,0,0,0,0,0,0,1,15,275
2022-01-01,2022,1,samedi,22,30,1,1,0,0,0,0,0,0,1,15,187
2022-01-01,2022,1,samedi,23,0,1,1,0,0,0,0,0,0,1,15,131
2022-01-02,2022,1,dimanche,5,0,1,0,0,0,0,0,0,0,1,15,261
2022-01-02,2022,1,dimanche,5,30,1,0,0,0,0,0,0,0,1,15,416
2022-01-02,2022,1,dimanche,6,0,1,0,0,0,0,0,0,0,1,15,919
2022-01-02,2022,1,dimanche,6,30,1,0,0,0,0,0,0,0,1,15,1505
2022-01-02,2022,1,dimanche,7,0,1,0,0,0,0,0,0,0,1,15,1886
2022-01-02,2022,1,dimanche,7,30,1,0,0,0,0,0,0,0,1,15,2048
2022-01-02,2022,1,dimanche,8,0,1,0,0,0,0,0,0,0,1,15,2143
2022-01-02,2022,1,dimanche,8,30,1,0,0,0,0,0,0,0,1,15,1709
2022-01-02,2022,1,dimanche,9,0,1,0,0,0,0,0,0,0,1,15,1339
2022-01-02,2022,1,dimanche,9,30,1,0,0,0,0,0,0,0,1,15,946
2022-01-02,2022,1,dimanche,10,0,1,0,0,0,0,0,0,0,1,15,841
2022-01-02,2022,1,dimanche,10,30,1,0,0,0,0,0,0,0,1,15,743
2022-01-02,2022,1,dimanche,11,0,1,0,0,0,0,0,0,0,1,15,599
2022-01-02,2022,1,dimanche,11,30,1,0,0,0,0,0,0,0,1,15,742
2022-01-02,2022,1,dimanche,12,0,1,0,0,0,0,0,0,0,1,15,876
2022-01-02,2022,1,dimanche,12,30,1,0,0,0,0,0,0,0,1,15,806
2022-01-02,2022,1,dimanche,13,0,1,0,0,0,0,0,0,0,1,15,813
2022-01-02,2022,1,dimanche,13,30,1,0,0,0,0,0,0,0,1,15,755
2022-01-02,2022,1,dimanche,14,0,1,0,0,0,0,0,0,0,1,15,694
2022-01-02,2022,1,dimanche,14,30,1,0,0,0,0,0,0,0,1,15,603
2022-01-02,2022,1,dimanche,15,0,1,0,0,0,0,0,0,0,1,15,680
2022-01-02,2022,1,dimanche,15,30,1,0,0,0,0,0,0,0,1,15,796
2022-01-02,2022,1,dimanche,16,0,1,0,0,0,0,0,0,0,1,15,1114
2022-01-02,2022,1,dimanche,16,30,1,0,0,0,0,0,0,0,1,15,1367
2022-01-02,2022,1,dimanche,17,0,1,0,0,0,0,0,0,0,1,15,1782
2022-01-02,2022,1,dimanche,17,30,1,0,0,0,0,0,0,0,1,15,1884
2022-01-02,2022,1,dimanche,18,0,1,0,0,0,0,0,0,0,1,15,1986
2022-01-02,2022,1,dimanche,18,30,1,0,0,0,0,0,0,0,1,15,2064
2022-01-02,2022,1,dimanche,19,0,1,0,0,0,0,0,0,0,1,15,1718
2022-01-02,2022,1,dimanche,19,30,1,0,0,0,0,0,0,0,1,15,1156
2022-01-02,2022,1,dimanche,20,0,1,0,0,0,0,0,0,0,1,15,893
2022-01-02,2022,1,dimanche,20,30,1,0,0,0,0,0,0,0,1,15,585
2022-01-02,2022,1,dimanche,21,0,1,0,0,0,0,0,0,0,1,15,441
2022-01-02,2022,1,dimanche,21,30,1,0,0,0,0,0,0,0,1,15,372
2022-01-02,2022,1,dimanche,22,0,1,0,0,0,0,0,0,0,1,15,290
2022-01-02,2022,1,dimanche,22,30,1,0,0,0,0,0,0,0,1,15,206
2022-01-02,2022,1,dimanche,23,0,1,0,0,0,0,0,0,0,1,15,145
2022-01-03,2022,1,lundi,5,0,0,0,0,0,0,0,0,0,1,15,449
2022-01-03,2022,1,lundi,5,30,0,0,0,0,0,0,0,0,1,15,909
2022-01-03,2022,1,lundi,6,0,0,0,0,0,0,0,0,0,1,15,1669
2022-01-03,2022,1,lundi,6,30,0,0,0,0,0,0,0,0,1,15,2543
2022-01-03,2022,1,lundi,7,0,0,0,0,0,0,0,0,0,1,15,3435
2022-01-03,2022,1,lundi,7,30,0,0,0,0,0,0,0,0,1,15,3187
2022-01-03,2022,1,lundi,8,0,0,0,0,0,0,0,0,0,1,15,3955
2022-01-03,2022,1,lundi,8,30,0,0,0,0,0,0,0,0,1,15,3654
2022-01-03,2022,1,lundi,9,0,0,0,0,0,0,0,0,0,1,15,2913
2022-01-03,2022,1,lundi,9,30,0,0,0,0,0,0,0,0,1,15,1725
2022-01-03,2022,1,lundi,10,0,0,0,0,0,0,0,0,0,1,15,1329
2022-01-03,2022,1,lundi,10,30,0,0,0,0,0,0,0,0,1,15,1273
